"","dates","ret_5_yr_daily","ret_10_yr_daily","bps_credit_aaa","bps_credit_baa","spread_aaa.minus.baa","Close","Adj","PX_LAST","snp_ret","clusters_fcm"
"1491",1995-12-04,5.441,5.638,6.79,7.46,0.67,613.68,1122.2346,10.66,0.0111003174840002,1
"1492",1995-12-05,5.476,5.677,6.8,7.47,0.67,617.68,1129.6471,11.65,0.00660512516723322,1
"1493",1995-12-06,5.498,5.675,6.8,7.48,0.68,620.18,1134.4941,12.7,0.00429072052679105,1
"1494",1995-12-07,5.549,5.731,6.83,7.51,0.68,616.17,1127.2058,12.74,-0.00642427316281322,1
"1495",1995-12-08,5.552,5.722,6.82,7.49,0.67,617.48,1129.6105,11.12,0.00213332827066721,1
"1496",1995-12-11,5.53,5.708,6.81,7.46,0.65,619.52,1133.3799,11.06,0.00333690241016696,1
"1497",1995-12-12,5.552,5.724,6.82,7.49,0.67,618.78,1132.0315,10.63,-0.00118971582255858,1
"1498",1995-12-13,5.566,5.749,6.84,7.51,0.67,621.69,1137.834,10.36,0.00512574075898065,1
"1499",1995-12-14,5.566,5.753,6.84,7.5,0.66,616.92,1129.171,11.07,-0.00761358862540582,1
"1500",1995-12-15,5.566,5.759,6.86,7.52,0.66,616.34,1128.1184,11.44,-0.000932188304517193,2
"1501",1995-12-18,5.65,5.855,6.92,7.59,0.67,606.81,1110.7421,14.55,-0.0154029045178238,2
"1502",1995-12-19,5.533,5.753,6.86,7.53,0.67,611.93,1120.1157,13.16,0.00843904269046804,2
"1503",1995-12-20,5.562,5.769,6.86,7.53,0.67,605.94,1109.2066,12.2,-0.00973926175662039,2
"1504",1995-12-21,5.548,5.744,6.87,7.54,0.67,610.49,1117.5778,10.77,0.00754701603831067,2
"1505",1995-12-22,5.5,5.709,6.82,7.49,0.67,611.96,1120.2786,11.51,0.00241665501945374,1
"1506",1995-12-26,5.479,5.684,6.8,7.47,0.67,614.3,1124.5714,11.49,0.00383190395674785,1
"1507",1995-12-27,5.453,5.655,6.77,7.44,0.67,614.53,1125.5989,11.98,0.000913681425652402,1
"1508",1995-12-28,5.417,5.624,6.74,7.41,0.67,614.12,1124.8816,12.25,-0.000637260750699048,1
"1509",1995-12-29,5.381,5.572,6.71,7.38,0.67,615.93,1128.2279,12.52,0.00297480197026972,1
"1510",1996-01-02,5.388,5.591,6.72,7.38,0.66,620.73,1137.0222,12.19,0.00779479039651476,1
"1511",1996-01-03,5.356,5.574,6.71,7.37,0.66,621.32,1138.3106,12.1,0.00113313530729647,1
"1512",1996-01-04,5.41,5.646,6.78,7.44,0.66,617.7,1131.6917,13.78,-0.0058146695638255,1
"1513",1996-01-05,5.413,5.673,6.8,7.5,0.7,616.71,1129.8785,13.58,-0.00160220314419559,1
"1514",1996-01-08,5.417,5.681,6.8,7.49,0.69,618.46,1133.4112,13.11,0.00312661936659559,1
"1515",1996-01-09,5.46,5.744,6.79,7.46,0.67,609.45,1117.0046,15.21,-0.0144754172183935,1
"1516",1996-01-10,5.526,5.817,6.9,7.57,0.67,598.48,1096.9905,16.4,-0.0179176522639207,2
"1517",1996-01-11,5.485,5.775,6.9,7.56,0.66,602.69,1104.7507,14.69,0.00707408131610979,2
"1518",1996-01-12,5.431,5.737,6.89,7.54,0.65,601.81,1103.1396,14.23,-0.00145833806667883,2
"1519",1996-01-15,5.431,5.737,6.89,7.55,0.66,599.82,1099.4919,14.99,-0.00330665311987711,2
"1520",1996-01-16,5.322,5.627,6.84,7.5,0.66,608.44,1115.2926,14.09,0.0143709107816074,1
"1521",1996-01-17,5.293,5.575,6.78,7.43,0.65,606.37,1111.6013,14.25,-0.00330971441933709,1
"1522",1996-01-18,5.25,5.524,6.74,7.39,0.65,608.24,1115.1333,13.58,0.00317739822722403,1
"1523",1996-01-19,5.267,5.528,6.73,7.38,0.65,611.83,1121.718,12.7,0.00590485460348114,1
"1524",1996-01-22,5.35,5.61,6.79,7.45,0.66,613.4,1124.5964,13.34,0.00256606384135748,1
"1525",1996-01-23,5.379,5.655,6.83,7.48,0.65,612.79,1123.4949,13.56,-0.000979462498723975,1
"1526",1996-01-24,5.332,5.614,6.79,7.45,0.66,619.96,1136.6863,12.54,0.0117413973129741,1
"1527",1996-01-25,5.409,5.693,6.84,7.49,0.65,617.03,1131.319,12.94,-0.00472188324958268,1
"1528",1996-01-26,5.333,5.634,6.82,7.47,0.65,621.62,1139.7347,12,0.00743883908959366,1
"1529",1996-01-29,5.38,5.684,6.85,7.49,0.64,624.22,1144.6634,12.19,0.00432442743034843,1
"1530",1996-01-30,5.297,5.616,6.8,7.44,0.64,630.15,1155.5737,12.42,0.00953144828427292,1
"1531",1996-01-31,5.236,5.58,6.78,7.42,0.64,636.02,1166.5101,12.53,0.00946404370400611,1
"1532",1996-02-01,5.222,5.597,6.82,7.46,0.64,638.46,1171.2069,12.65,0.00402636891013626,1
"1533",1996-02-02,5.261,5.667,6.87,7.5,0.63,635.84,1166.4687,13.23,-0.004045570428248,1
"1534",1996-02-05,5.297,5.69,6.89,7.52,0.63,641.43,1176.8074,13.46,0.00886324682351101,1
"1535",1996-02-06,5.265,5.655,6.86,7.49,0.63,646.33,1185.8273,14.59,0.00766472066712022,1
"1536",1996-02-07,5.272,5.669,6.85,7.49,0.64,649.93,1192.6302,14.11,0.00573683874540596,1
"1537",1996-02-08,5.246,5.654,6.87,7.51,0.64,656.07,1204.1608,13.89,0.00966821064903442,1
"1538",1996-02-09,5.232,5.66,6.87,7.5,0.63,656.37,1204.7804,14.63,0.000514549219672315,1
"1539",1996-02-12,5.16,5.592,6.81,7.44,0.63,661.45,1214.1757,14.69,0.00779835063717828,1
"1540",1996-02-13,5.131,5.576,6.79,7.42,0.63,660.51,1212.7716,14.94,-0.00115642241892996,1
"1541",1996-02-14,5.163,5.635,6.83,7.46,0.63,655.58,1203.873,15.59,-0.00733740796700713,1
