KYTREASNOX,MCALDT,TMYTM
2000001,04/30/1993,2.8528149815
2000001,05/28/1993,2.9544784744
2000001,06/30/1993,2.8632056868
2000001,07/30/1993,2.8841112117
2000001,08/31/1993,2.86253146
2000001,09/30/1993,2.7817623553
2000001,10/29/1993,2.832483438
2000001,11/30/1993,2.7507461103
2000001,12/31/1993,2.9443116923
2000001,01/31/1994,2.7915009651
2000001,02/28/1994,2.9032987816
2000001,03/31/1994,3.3918989994
2000001,04/29/1994,3.6155259568
2000001,05/31/1994,3.78769532
2000001,06/30/1994,3.5241423358
2000001,07/29/1994,3.9512905316
2000001,08/31/1994,4.3894881357
2000001,09/30/1994,4.4907686561
2000001,10/31/1994,4.3372844282
2000001,11/30/1994,4.9497012179
2000001,12/30/1994,4.7351498425
2000001,01/31/1995,5.1818525865
2000001,02/28/1995,5.0189488833
2000001,03/31/1995,5.7743909736
2000001,04/28/1995,5.7336174613
2000001,05/31/1995,5.6427565072
2000001,06/30/1995,5.3259674856
2000001,07/31/1995,5.4470246592
2000001,08/31/1995,5.3671207596
2000001,09/29/1995,5.3565358645
2000001,10/31/1995,4.9884068671
2000001,11/30/1995,5.4180780231
2000001,12/29/1995,4.5824050818
2000001,01/31/1996,4.9293244088
2000001,02/29/1996,4.979926905
2000001,03/29/1996,5.193514566
2000001,04/30/1996,4.8357082855
2000001,05/31/1996,5.0308652526
2000001,06/28/1996,4.8166226027
2000001,07/31/1996,5.0312125497
2000001,08/30/1996,5.1120131992
2000001,09/30/1996,4.9887482443
2000001,10/31/1996,4.9620990717
2000001,11/29/1996,4.9490290257
2000001,12/31/1996,4.8738811345
2000001,01/31/1997,4.9694006943
2000001,02/28/1997,5.0559845986
2000001,03/31/1997,5.2229561266
2000001,04/30/1997,4.9904560646
2000001,05/30/1997,4.4144109426
2000001,06/30/1997,5.0447502389
2000001,07/31/1997,5.1174661533
2000001,08/29/1997,5.0177849564
2000001,09/30/1997,4.7491875957
2000001,10/31/1997,4.8930089305
2000001,11/28/1997,4.9901143758
2000001,12/31/1997,5.1076353752
2000001,01/30/1998,5.0254247761
2000001,02/27/1998,5.1222005318
2000001,03/31/1998,5.2302188224
2000001,04/30/1998,4.7278187206
2000001,05/29/1998,4.5671318009
2000001,06/30/1998,4.7033850153
2000001,07/31/1998,4.7453335994
2000001,08/31/1998,4.6909641974
2000001,09/30/1998,4.0280603618
2000001,10/30/1998,3.551946008
2000001,11/30/1998,4.4415961914
2000001,12/31/1998,4.3943146741
2000001,01/29/1999,4.4093206215
2000001,02/26/1999,4.5060408504
2000001,03/31/1999,4.5575195611
2000001,04/30/1999,4.4524873101
2000001,05/28/1999,4.4195012879
2000001,06/30/1999,4.4378579644
2000001,07/30/1999,4.4500438663
2000001,08/31/1999,4.4998388502
2000001,09/30/1999,4.5012280204
2000001,10/29/1999,4.3660538664
2000001,11/30/1999,4.5710761346
2000001,12/31/1999,5.1018259635
2000001,01/31/2000,5.3859108304
2000001,02/29/2000,5.3142279076
2000001,03/31/2000,5.8559426449
2000001,04/28/2000,5.2699277175
2000001,05/31/2000,4.6746488432
2000001,06/30/2000,5.6291424028
2000001,07/31/2000,5.8749103032
2000001,08/31/2000,6.2337330537
2000001,09/29/2000,5.9196591991
2000001,10/31/2000,6.0272657762
2000001,11/30/2000,6.1189930097
2000001,12/29/2000,5.7692941998
2000001,01/31/2001,4.8274465059
2000001,02/28/2001,5.0133813859
2000001,03/30/2001,4.4322272566
2000001,04/30/2001,3.7421209392
2000001,05/31/2001,3.4453029432
2000001,06/29/2001,3.4146261678
2000001,07/31/2001,3.6402319747
2000001,08/31/2001,3.3739421809
2000001,09/28/2001,2.3776658208
2000001,10/31/2001,2.0933052972
2000001,11/30/2001,1.727535072
2000001,12/31/2001,1.6360319456
2000001,01/31/2002,1.6894928025
2000001,02/28/2002,1.7326538389
2000001,03/28/2002,1.7098036559
2000001,04/30/2002,1.7527549769
2000001,05/31/2002,1.6894928025
2000001,06/28/2002,1.6666054954
2000001,07/31/2002,1.6996877751
2000001,08/30/2002,1.6564509021
2000001,09/30/2002,1.5700393813
2000001,10/31/2002,1.4204113327
2000001,11/29/2002,1.2173566325
2000001,12/31/2002,1.1360858114
2000001,01/31/2003,1.146306235
2000001,02/28/2003,1.1945184919
2000001,03/31/2003,1.1411778473
2000001,04/30/2003,1.0930542666
2000001,05/30/2003,1.1209322327
2000001,06/30/2003,0.7936354691
2000001,07/31/2003,0.8799197267
2000001,08/29/2003,0.9712378252
2000001,09/30/2003,0.8519648892
2000001,10/31/2003,0.915424914
2000001,11/28/2003,0.9002148187
2000001,12/31/2003,0.8266563527
2000001,01/30/2004,0.8266376259
2000001,02/27/2004,0.9331832528
2000001,03/31/2004,0.9230589444
2000001,04/30/2004,0.8088810495
2000001,05/28/2004,0.9078142873
2000001,06/30/2004,1.1285792776
2000001,07/30/2004,1.2782607161
2000001,08/31/2004,1.4405747305
2000001,09/30/2004,1.4584846822
2000001,10/29/2004,1.7478456994
2000001,11/30/2004,2.032008429
2000001,12/31/2004,1.9078053199
2000001,01/31/2005,2.1615662763
2000001,02/28/2005,2.4968121415
2000001,03/31/2005,2.5987909497
2000001,04/29/2005,2.710502263
2000001,05/31/2005,2.7507461101
2000001,06/30/2005,2.9851015763
2000001,07/29/2005,3.2290180062
2000001,08/31/2005,3.3411937269
2000001,09/30/2005,3.1857987941
2000001,10/31/2005,3.696351591
2000001,11/30/2005,3.9705619269
2000001,12/30/2005,3.9462024059
2000001,01/31/2006,4.32685138
2000001,02/28/2006,4.4235178168
2000001,03/31/2006,4.5925873897
